document_id,document_type,issuer,issuer_condition,recipient,stage,precondition,order_state,error_risks,source_ids,evidence_label
D11,Export or import permit,"Competent government authority","Application satisfies item/destination/end-use and quantity scope","Exporter/importer; customs; carrier; bank when required","Before declaration or market access","Classification; end-use; application and destination rule","COMPLIANCE_PENDING","Wrong scope; expired permit; unlicensed export; incomplete end-use","S21","government document; destination/product dependent"
D12,Phytosanitary certificate,"Export country NPPO authorized public officer","Inspection/sampling/treatment and import requirements met","Destination NPPO/quarantine; customs; importer","Before dispatch or as destination requires","Regulated plant material; consignment identifiable; accepted paper/ePhyto route","CERTIFICATES_PENDING","Wrong scientific name/lot/origin; treatment missing; additional declaration wrong; unaccepted ePhyto","S14","official IPPC standard; product/country dependent"
D13,Veterinary certificate,"Export country veterinary or competent authority/official veterinarian","Model certificate and health requirements met","Destination veterinary authority; customs; importer; carrier","Before dispatch for animal/animal-product controls","Health inspection; establishment/lot; negotiated destination requirements","CERTIFICATES_PENDING","Wrong species/lot; missing official signature/stamp; wrong consignee; unreadable electronic record","S15","official WOAH framework; product/country dependent"
D14,Health or sanitary certificate,"Export health/food authority or recognized body","Inspection/test and destination format accepted","Destination authority; customs; buyer; inspector","Before export for regulated food/health goods","Product rule; lot; test/inspection; accepted authority","CERTIFICATES_PENDING","Wrong lot/language; expired test; unrecognized authority; overbroad health claim","S01;S21","official guidance; product/country dependent"
D15,Conformity declaration or test report,"Manufacturer or accredited/notified conformity body","Applicable standard/directive and evidence of testing","Importer; market surveillance; customs; buyer","Before market access or shipment","Product model; technical file; applicable standard; accredited body when required","COMPLIANCE_PENDING","Wrong standard/version; body not accepted; model/serial mismatch; expired report","S21","official guidance; destination/product dependent"
D16,Inspection certificate,"Independent inspector or contract/destination-required body","Scope, sampling, inspection and quantity/quality/value report completed","Buyer; seller; customs; bank; insurer","Before loading or contract-defined checkpoint","Goods ready; inspector and scope accepted; contract/LC condition if any","INSPECTION_PENDING","Nonrepresentative sample; unsigned report; wrong date/place; mismatch; nonaccepted agency","S20;S21","contract/destination-dependent practice"
D17,Fumigation or treatment certificate,"Authorized treatment provider or authority","Treatment performed and linked to package/wood marks","Customs/quarantine; carrier; buyer; inspector","After packing before dispatch when required","Identified packages; treatment date and mark; destination rule","CERTIFICATES_PENDING","Wrong package; invalid mark; date/permit error; repacking after treatment","S21","conditional trade/customs practice"
D18,Halal certificate,"Destination-accepted certification body","Audit/slaughter/process and accepted scope completed","Buyer/importer; destination authority; customs; bank","Before export for covered goods","Product/ingredients/process; accepted certifier; lot","CERTIFICATES_PENDING or COMPLIANCE_BLOCKED","Body not accepted; ingredients/lot mismatch; expired or unlegalized certificate","S21","conditional destination practice"
D19,Insurance policy or certificate,"Insurer or broker","Coverage, insured party/value/route and exclusions agreed; seller obligation only under applicable term/contract","Buyer/consignee; bank; seller; claim handler","Before risk-bearing shipment","Contract/Incoterms; insured goods/value/route; beneficiary","INSURANCE_PENDING","Wrong beneficiary/value/route; exclusion; late placement; failure to notify loss","S04;S05","contract/Incoterms-dependent"
D20,Delivery note or dispatch note,"Seller; warehouse; or carrier","Handover record with order/shipment; packages; date/place; receiver","Buyer/consignee or warehouse","At physical handover","Authorized receiver; tally and location evidence","DELIVERY_PENDING or DELIVERED","Wrong receiver; unsigned note; quantity mismatch; no damage notation","S16","operational trade practice"
D21,POD or signed receipt,"Carrier or last-mile operator","Delivery timestamp/location and authorized consignee acknowledgement","Seller; buyer; insurer; dispute handler","After arrival and handover","Identity/authority of receiver; shipment reference","DELIVERED","Forged signature; partial delivery; hidden damage; missing time/location","S17","operational evidence; jurisdiction dependent"
D22,Goods receipt or release order,"Importer/warehouse for GRN; carrier/terminal for release order","Tally/inspection or right-to-deliver condition met","Buyer; seller; carrier; finance; customs","Arrival after customs release and document/charge check","PO/CI/B/L/lot link; customs release; original or e-release when required","ARRIVED or RELEASE_AUTHORIZED","Wrong party; missing original/e-release; unpaid charges; customs hold; mixed lot","S01;S08;S16;S17","operational/carrier practice"
D23,Payment or transport claim,"Aggrieved seller/buyer/shipper/consignee or insurer","Written notice with order/shipment, event, amount or determinable remedy, evidence and deadline","Counterparty; carrier; insurer; bank/authority as applicable","After overdue, loss, damage, delay or nonconformity","Contract/policy/B/L; inspection and evidence; timely notice","CLAIM_OPEN","Late notice; vague nature; wrong respondent; missing evidence; inconsistent names/amount","S03;S18;S19","legal/contract/policy dependent"
D24,Dispute case","Party whose claim was rejected or unresolved","Notice referencing clause, chronology, evidence, relief and forum","Counterparty; mediator/arbitrator/court under contract","After failed claim negotiation or no response","Governing law; dispute clause; notice address; legal hold","DISPUTE_OPEN","Wrong forum; missed deadline; incomplete evidence; public disclosure of confidential data","S03;S18","contract/legal process dependent"
