site,record_id,dimension_id,group,field_name,question,evidence_state,observed_fact,evidence_url,evidence_type,observed_at,region,access_mode,confidence,actor,input,output,page_module,entity,event,state,error_exception,document,personal_data,risk,handoff,inference,gap_reason,next_method,product_implication,metric_name,metric_value,metric_unit,metric_currency,metric_period,metric_territory,metric_classification,metric_method,metric_publisher,source_title,source_publication_date
tradekey,tradekey:D10.1,D10,D01-D10 Discovery,supplier_detail,Which supplier fields/actions appear?,observed,TradeKey public pages expose category/search/product-or-supplier discovery cues; depth varies and no authenticated action was executed.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,TradeKey public pages expose category/search/product-or-supplier discovery cues; depth varies and no authenticated action was executed.,https://www.tradekey.com/,Supplier Detail,supplier_detail.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D11.1,D11,D11-D20 Identity,registration_entry,Is registration entry visible?,observed,TradeKey exposes signup/login and buyer/supplier roles; exact verification fields were not submitted.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,TradeKey exposes signup/login and buyer/supplier roles; exact verification fields were not submitted.,https://www.tradekey.com/,Registration Entry,registration_entry.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D12.1,D12,D11-D20 Identity,buyer_registration,What buyer registration inputs are documented?,observed,TradeKey exposes signup/login and buyer/supplier roles; exact verification fields were not submitted.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,TradeKey exposes signup/login and buyer/supplier roles; exact verification fields were not submitted.,https://www.tradekey.com/,Buyer Registration,buyer_registration.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D13.1,D13,D11-D20 Identity,supplier_enrollment,What supplier enrollment path is public?,observed,TradeKey exposes signup/login and buyer/supplier roles; exact verification fields were not submitted.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,TradeKey exposes signup/login and buyer/supplier roles; exact verification fields were not submitted.,https://www.tradekey.com/,Supplier Enrollment,supplier_enrollment.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D14.1,D14,D11-D20 Identity,login,Which login mechanisms are documented?,observed,TradeKey exposes signup/login and buyer/supplier roles; exact verification fields were not submitted.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,TradeKey exposes signup/login and buyer/supplier roles; exact verification fields were not submitted.,https://www.tradekey.com/,Login,login.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D15.1,D15,D11-D20 Identity,role_selection,Is an explicit buyer/seller role-selection screen shown?,observed,TradeKey exposes signup/login and buyer/supplier roles; exact verification fields were not submitted.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,TradeKey exposes signup/login and buyer/supplier roles; exact verification fields were not submitted.,https://www.tradekey.com/,Role Selection,role_selection.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D16.1,D16,D11-D20 Identity,email_verification,How is email verified?,observed-not-found,No sufficient public guest evidence was found for this TradeKey dimension.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,No sufficient public guest evidence was found for this TradeKey dimension.,https://www.tradekey.com/,Email Verification,email_verification.evaluated,public -> observed-not-found,"The capability requires authentication, transaction evidence, policy detail, or a page not observed in this scope.",No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,"The capability requires authentication, transaction evidence, policy detail, or a page not observed in this scope.",Inspect current official TradeKey help/policy or authorized account flow without real transaction.,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D17.1,D17,D11-D20 Identity,mobile_verification,How is mobile verified?,observed-not-found,No sufficient public guest evidence was found for this TradeKey dimension.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,No sufficient public guest evidence was found for this TradeKey dimension.,https://www.tradekey.com/,Mobile Verification,mobile_verification.evaluated,public -> observed-not-found,"The capability requires authentication, transaction evidence, policy detail, or a page not observed in this scope.",No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,"The capability requires authentication, transaction evidence, policy detail, or a page not observed in this scope.",Inspect current official TradeKey help/policy or authorized account flow without real transaction.,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D18.1,D18,D11-D20 Identity,company_onboarding,Is company information collected?,observed-not-found,No sufficient public guest evidence was found for this TradeKey dimension.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,No sufficient public guest evidence was found for this TradeKey dimension.,https://www.tradekey.com/,Company Onboarding,company_onboarding.evaluated,public -> observed-not-found,"The capability requires authentication, transaction evidence, policy detail, or a page not observed in this scope.",No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,"The capability requires authentication, transaction evidence, policy detail, or a page not observed in this scope.",Inspect current official TradeKey help/policy or authorized account flow without real transaction.,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D19.1,D19,D11-D20 Identity,kyc_kyb_documents,Which exact KYB documents are mandatory at registration?,observed-not-found,No sufficient public guest evidence was found for this TradeKey dimension.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,No sufficient public guest evidence was found for this TradeKey dimension.,https://www.tradekey.com/,Kyc Kyb Documents,kyc_kyb_documents.evaluated,public -> observed-not-found,"The capability requires authentication, transaction evidence, policy detail, or a page not observed in this scope.",No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,"The capability requires authentication, transaction evidence, policy detail, or a page not observed in this scope.",Inspect current official TradeKey help/policy or authorized account flow without real transaction.,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D20.1,D20,D11-D20 Identity,password_recovery,What recovery path is documented?,observed-not-found,No sufficient public guest evidence was found for this TradeKey dimension.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,No sufficient public guest evidence was found for this TradeKey dimension.,https://www.tradekey.com/,Password Recovery,password_recovery.evaluated,public -> observed-not-found,"The capability requires authentication, transaction evidence, policy detail, or a page not observed in this scope.",No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,"The capability requires authentication, transaction evidence, policy detail, or a page not observed in this scope.",Inspect current official TradeKey help/policy or authorized account flow without real transaction.,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D21.1,D21,D21-D30 Supplier tools,dashboard,Is a supplier dashboard evidenced?,observed,TradeKey documents supplier membership/profile/catalog or lead tools on public pages; dashboard execution was not accessed.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,TradeKey documents supplier membership/profile/catalog or lead tools on public pages; dashboard execution was not accessed.,https://www.tradekey.com/,Dashboard,dashboard.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D22.1,D22,D21-D30 Supplier tools,company_profile,Can suppliers maintain a profile?,observed,TradeKey documents supplier membership/profile/catalog or lead tools on public pages; dashboard execution was not accessed.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,TradeKey documents supplier membership/profile/catalog or lead tools on public pages; dashboard execution was not accessed.,https://www.tradekey.com/,Company Profile,company_profile.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D23.1,D23,D21-D30 Supplier tools,catalog_management,Is catalog/showroom management evidenced?,observed,TradeKey documents supplier membership/profile/catalog or lead tools on public pages; dashboard execution was not accessed.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,TradeKey documents supplier membership/profile/catalog or lead tools on public pages; dashboard execution was not accessed.,https://www.tradekey.com/,Catalog Management,catalog_management.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D24.1,D24,D21-D30 Supplier tools,product_creation,Is product creation evidenced?,observed,TradeKey documents supplier membership/profile/catalog or lead tools on public pages; dashboard execution was not accessed.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,TradeKey documents supplier membership/profile/catalog or lead tools on public pages; dashboard execution was not accessed.,https://www.tradekey.com/,Product Creation,product_creation.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D25.1,D25,D21-D30 Supplier tools,product_specifications,Are structured specifications displayed?,observed,TradeKey documents supplier membership/profile/catalog or lead tools on public pages; dashboard execution was not accessed.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,TradeKey documents supplier membership/profile/catalog or lead tools on public pages; dashboard execution was not accessed.,https://www.tradekey.com/,Product Specifications,product_specifications.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D26.1,D26,D21-D30 Supplier tools,price_moq,Are price and MOQ visible?,observed,TradeKey documents supplier membership/profile/catalog or lead tools on public pages; dashboard execution was not accessed.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,TradeKey documents supplier membership/profile/catalog or lead tools on public pages; dashboard execution was not accessed.,https://www.tradekey.com/,Price Moq,price_moq.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D27.1,D27,D21-D30 Supplier tools,capacity_lead_time,Are capacity and lead time visible?,observed,TradeKey documents supplier membership/profile/catalog or lead tools on public pages; dashboard execution was not accessed.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,TradeKey documents supplier membership/profile/catalog or lead tools on public pages; dashboard execution was not accessed.,https://www.tradekey.com/,Capacity Lead Time,capacity_lead_time.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D28.1,D28,D21-D30 Supplier tools,rfq_creation,Can a buyer submit an RFQ?,observed,TradeKey exposes buying leads/RFQ and supplier quotation/contact paths; premium gating is visible where stated.,https://importer.tradekey.com/party-supplies-importer.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",high,buyer/seller/platform as applicable,dimension-specific intent,TradeKey exposes buying leads/RFQ and supplier quotation/contact paths; premium gating is visible where stated.,https://importer.tradekey.com/party-supplies-importer.html,Rfq Creation,rfq_creation.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D29.1,D29,D21-D30 Supplier tools,rfq_response,Can suppliers view/respond to RFQs?,observed,TradeKey exposes buying leads/RFQ and supplier quotation/contact paths; premium gating is visible where stated.,https://importer.tradekey.com/party-supplies-importer.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",high,buyer/seller/platform as applicable,dimension-specific intent,TradeKey exposes buying leads/RFQ and supplier quotation/contact paths; premium gating is visible where stated.,https://importer.tradekey.com/party-supplies-importer.html,Rfq Response,rfq_response.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D30.1,D30,D21-D30 Supplier tools,messaging,Is messaging/file exchange evidenced?,observed,TradeKey exposes buying leads/RFQ and supplier quotation/contact paths; premium gating is visible where stated.,https://importer.tradekey.com/party-supplies-importer.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",high,buyer/seller/platform as applicable,dimension-specific intent,TradeKey exposes buying leads/RFQ and supplier quotation/contact paths; premium gating is visible where stated.,https://importer.tradekey.com/party-supplies-importer.html,Messaging,messaging.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D31.1,D31,D31-D40 Transaction,quotation,Is quotation workflow evidenced?,observed,TradeKey exposes buying leads/RFQ and supplier quotation/contact paths; premium gating is visible where stated.,https://importer.tradekey.com/party-supplies-importer.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",high,buyer/seller/platform as applicable,dimension-specific intent,TradeKey exposes buying leads/RFQ and supplier quotation/contact paths; premium gating is visible where stated.,https://importer.tradekey.com/party-supplies-importer.html,Quotation,quotation.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D32.1,D32,D31-D40 Transaction,sample_workflow,Is a platform-managed sample workflow visible?,observed-not-found,No sufficient public guest evidence was found for this TradeKey dimension.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,No sufficient public guest evidence was found for this TradeKey dimension.,https://www.tradekey.com/,Sample Workflow,sample_workflow.evaluated,public -> observed-not-found,"The capability requires authentication, transaction evidence, policy detail, or a page not observed in this scope.",No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,"The capability requires authentication, transaction evidence, policy detail, or a page not observed in this scope.",Inspect current official TradeKey help/policy or authorized account flow without real transaction.,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
