site,path_id,actor,step,goal,page_module,input,event,state_before,state_after,output,error_exception,document,personal_data,risk,handoff,evidence_state,evidence_url,observed_at,confidence,notes
ec21,ec21-s05,seller_guest,5,Proceed toward transaction/support,https://www.ec21.com/,guest intent,ec21.seller_guest.5,previous public state,public_evidence_or_auth_gate,EC21 proceed toward transaction/support evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.ec21.com/,2026-08-24,medium,
exporthub,exporthub-b01,buyer_guest,1,Enter marketplace,https://www.exporthub.com/,guest intent,exporthub.buyer_guest.1,previous public state,public_evidence_or_auth_gate,ExportHub enter marketplace evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.exporthub.com/,2026-08-24,medium,
exporthub,exporthub-b02,buyer_guest,2,Discover products or requirements,https://www.exporthub.com/faqs.html,guest intent,exporthub.buyer_guest.2,previous public state,public_evidence_or_auth_gate,ExportHub discover products or requirements evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.exporthub.com/faqs.html,2026-08-24,medium,
exporthub,exporthub-b03,buyer_guest,3,Assess counterpart,https://www.exporthub.com/,guest intent,exporthub.buyer_guest.3,previous public state,public_evidence_or_auth_gate,ExportHub assess counterpart evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.exporthub.com/,2026-08-24,medium,
exporthub,exporthub-b04,buyer_guest,4,Contact or quote,https://www.exporthub.com/faqs.html,guest intent,exporthub.buyer_guest.4,previous public state,public_evidence_or_auth_gate,ExportHub contact or quote evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.exporthub.com/faqs.html,2026-08-24,medium,
exporthub,exporthub-b05,buyer_guest,5,Proceed toward transaction/support,https://www.exporthub.com/,guest intent,exporthub.buyer_guest.5,previous public state,public_evidence_or_auth_gate,ExportHub proceed toward transaction/support evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.exporthub.com/,2026-08-24,medium,
exporthub,exporthub-s01,seller_guest,1,Enter marketplace,https://www.exporthub.com/,guest intent,exporthub.seller_guest.1,previous public state,public_evidence_or_auth_gate,ExportHub enter marketplace evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.exporthub.com/,2026-08-24,medium,
exporthub,exporthub-s02,seller_guest,2,Discover products or requirements,https://www.exporthub.com/faqs.html,guest intent,exporthub.seller_guest.2,previous public state,public_evidence_or_auth_gate,ExportHub discover products or requirements evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.exporthub.com/faqs.html,2026-08-24,medium,
exporthub,exporthub-s03,seller_guest,3,Assess counterpart,https://www.exporthub.com/,guest intent,exporthub.seller_guest.3,previous public state,public_evidence_or_auth_gate,ExportHub assess counterpart evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.exporthub.com/,2026-08-24,medium,
exporthub,exporthub-s04,seller_guest,4,Contact or quote,https://www.exporthub.com/faqs.html,guest intent,exporthub.seller_guest.4,previous public state,public_evidence_or_auth_gate,ExportHub contact or quote evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.exporthub.com/faqs.html,2026-08-24,medium,
exporthub,exporthub-s05,seller_guest,5,Proceed toward transaction/support,https://www.exporthub.com/,guest intent,exporthub.seller_guest.5,previous public state,public_evidence_or_auth_gate,ExportHub proceed toward transaction/support evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.exporthub.com/,2026-08-24,medium,
