canonical_name,category_code,category_name,canonical_url,aliases,owner_operator,owner_verification,country_or_territory,languages,marketplace_model,specialization,geography,access_status,login_requirement,traffic_rank,traffic_rank_date,traffic_source_url,traffic_score,specialty_score,geography_score,model_score,primary_source_url,source_type,accessed_at,confidence,decision,duplicate_of,discovery_query,discovery_source_url,notes
TradeWheel,C2,عمومی منطقه‌ای,https://www.tradewheel.com/,,TradeWheel,brand/operator; legal entity not fully verified,Pakistan (operator location not fully verified),English,B2B directory/leads + memberships,general B2B,global; MENA/South Asia relevance,public-indexed,public browse; account for inquiry,100995,2026-08-22,https://tranco-list.eu/api/ranks/domain/tradewheel.com,1,1,2,1,https://www.tradewheel.com/,official/platform primary,2026-08-23,medium,include,,systematic category seed + official-site verification,https://www.tradewheel.com/,
Qoovee,C2,عمومی منطقه‌ای,https://www.qoovee.com/,,Qoovee,brand/operator; legal entity not fully verified,Kyrgyzstan/Central Asia focus; legal domicile not verified,English; Russian and other advertised locales,wholesale marketplace + tender/logistics,general B2B,Central Asia/CIS/global,public-indexed,public browse; account for tender/contact,471755,2026-08-22,https://tranco-list.eu/api/ranks/domain/qoovee.com,1,1,2,2,https://www.qoovee.com/en/,official/platform primary,2026-08-23,medium,include,,systematic category seed + official-site verification,https://www.qoovee.com/en/,
Tradeling,C2,عمومی منطقه‌ای,https://www.tradeling.com/,,Tradeling,brand/operator; legal entity not fully verified,United Arab Emirates,English; Arabic,regional B2B e-commerce marketplace,general business procurement,MENA,public-indexed,public browse; account for order,173512,2026-08-22,https://tranco-list.eu/api/ranks/domain/tradeling.com,1,1,2,2,https://www.tradeling.com/,official/platform primary,2026-08-23,medium,include,,systematic category seed + official-site verification,https://www.tradeling.com/,
Abraa,C2,عمومی منطقه‌ای,https://www.abraa.com/,,Abraa,official source,United Arab Emirates,English; Arabic,B2B wholesale marketplace + service layer,general wholesale,MENA/global,public landing observed,public browse; account for order/contact,1184187,2026-08-22,https://tranco-list.eu/api/ranks/domain/abraa.com,0,1,2,2,https://www.abraa.com/,official/platform primary,2026-08-23,high,include,,systematic category seed + official-site verification,https://www.abraa.com/,
Zandaux,C2,عمومی منطقه‌ای,https://www.zandaux.com/,,Zandaux,brand/operator; legal entity not fully verified,Africa; legal domicile not verified,English,pan-African B2B e-commerce marketplace,general B2B,Africa,public-indexed,public browse; transaction flow not observed,,,https://tranco-list.eu/api/ranks/domain/zandaux.com,0,1,1,2,https://www.zandaux.com/,official/platform primary,2026-08-23,low,include,,systematic category seed + official-site verification,https://www.zandaux.com/,No Tranco rank returned; operator identity requires legal-page verification.
Tridge,C3,کشاورزی و غذا,https://www.tridge.com/,,"Tridge Co., Ltd.",brand/operator; legal entity not fully verified,South Korea,English; localized content,agri-food sourcing/data/fulfillment platform,agriculture and food,global,public-indexed,public data browse; account for sourcing,83663,2026-08-22,https://tranco-list.eu/api/ranks/domain/tridge.com,2,2,2,2,https://www.tridge.com/,official/platform primary,2026-08-23,medium,include,,systematic category seed + official-site verification,https://www.tridge.com/,
go4WorldBusiness,C3,کشاورزی و غذا,https://www.go4worldbusiness.com/,Go4WorldBusiness,Wyzen Systems Private Limited,brand/operator; legal entity not fully verified,India,English,B2B marketplace/RFQ; strong food-agri categories,agriculture/food within general marketplace,global,public-indexed,public browse; account for contact,76210,2026-08-22,https://tranco-list.eu/api/ranks/domain/go4worldbusiness.com,2,2,2,1,https://www.go4worldbusiness.com/,official/platform primary,2026-08-23,medium,include,,systematic category seed + official-site verification,https://www.go4worldbusiness.com/,
Wikifarmer Marketplace,C3,کشاورزی و غذا,https://wikifarmer.com/market/,Wikifarmer,Wikifarmer,brand/operator; legal entity not fully verified,Greece,Multilingual,agricultural B2B marketplace,agriculture and food,Europe/global,public-indexed,public browse; account for transaction,178500,2026-08-22,https://tranco-list.eu/api/ranks/domain/wikifarmer.com,1,2,1,2,https://wikifarmer.com/market/,official/platform primary,2026-08-23,medium,include,,systematic category seed + official-site verification,https://wikifarmer.com/market/,
Selina Wamucii,C3,کشاورزی و غذا,https://www.selinawamucii.com/,,Selina Wamucii,brand/operator; legal entity not fully verified,Kenya,English,agri-food sourcing and market information,agriculture and food,Africa/global,public-indexed,public browse; sourcing flow not fully observed,232223,2026-08-22,https://tranco-list.eu/api/ranks/domain/selinawamucii.com,1,2,1,1,https://www.selinawamucii.com/,official/platform primary,2026-08-23,medium,include,,systematic category seed + official-site verification,https://www.selinawamucii.com/,
HelloChoice,C3,کشاورزی و غذا,https://hellochoice.co.za/,,HelloChoice,brand/operator; legal entity not fully verified,South Africa,English,digital produce marketplace/auction,fresh agricultural produce,South Africa,public-indexed,public landing; account for trade,,,https://tranco-list.eu/api/ranks/domain/hellochoice.co.za,0,2,1,2,https://hellochoice.co.za/,official/platform primary,2026-08-23,medium,include,,systematic category seed + official-site verification,https://hellochoice.co.za/,No Tranco rank returned.
Thomasnet,C4,صنعتی/تولیدی,https://www.thomasnet.com/,Thomas,"Xometry, Inc.",brand/operator; legal entity not fully verified,United States,English,industrial supplier discovery/RFQ directory,industrial manufacturing,North America,public-indexed,public browse; account for shortlist/RFQ,17447,2026-08-22,https://tranco-list.eu/api/ranks/domain/thomasnet.com,2,2,1,1,https://www.thomasnet.com/,official/platform primary,2026-08-23,medium,include,,systematic category seed + official-site verification,https://www.thomasnet.com/,
DirectIndustry,C4,صنعتی/تولیدی,https://www.directindustry.com/,,VirtualExpo Group,brand/operator; legal entity not fully verified,France,Multilingual,industrial product/supplier directory and quote requests,industrial equipment,global,public-indexed,public browse; account/contact for quote,42410,2026-08-22,https://tranco-list.eu/api/ranks/domain/directindustry.com,2,2,1,1,https://www.directindustry.com/,official/platform primary,2026-08-23,medium,include,,systematic category seed + official-site verification,https://www.directindustry.com/,
Xometry,C4,صنعتی/تولیدی,https://www.xometry.com/,,"Xometry, Inc.",official source,United States,English; localized regional sites,on-demand manufacturing marketplace,custom manufacturing,North America/global,public-indexed,public browse; account/upload for quote,70189,2026-08-22,https://tranco-list.eu/api/ranks/domain/xometry.com,2,2,1,2,https://www.xometry.com/,official/platform primary,2026-08-23,high,include,,systematic category seed + official-site verification,https://www.xometry.com/,
MFG.com,C4,صنعتی/تولیدی,https://www.mfg.com/,MFG,MFG.com,brand/operator; legal entity not fully verified,United States; legal operator not reverified,English,manufacturing RFQ marketplace,custom manufacturing,global,public-indexed,public landing; account for RFQ,205650,2026-08-22,https://tranco-list.eu/api/ranks/domain/mfg.com,1,2,1,2,https://www.mfg.com/,official/platform primary,2026-08-23,medium,include,,systematic category seed + official-site verification,https://www.mfg.com/,
IndustryStock,C4,صنعتی/تولیدی,https://www.industrystock.com/,,Deutscher Medien Verlag GmbH,brand/operator; legal entity not fully verified,Germany,Multilingual,industrial supplier/product directory,industrial manufacturing,global/Europe,public-indexed,public browse; account/contact for inquiry,133428,2026-08-22,https://tranco-list.eu/api/ranks/domain/industrystock.com,1,2,1,1,https://www.industrystock.com/,official/platform primary,2026-08-23,medium,include,,systematic category seed + official-site verification,https://www.industrystock.com/,
VITFA,C5,ایرانی و منطقه مبدأ,https://vitfa.com/,Vitfa,VITFA,brand/operator; legal entity not fully verified,Iran; legal entity not verified,English,Iran-focused wholesale marketplace,Iranian export products,Iran to global,public landing observed,public browse; account for listing/order,1384295,2026-08-22,https://tranco-list.eu/api/ranks/domain/vitfa.com,0,1,2,2,https://vitfa.com/,official/platform primary,2026-08-23,medium,include,,systematic category seed + official-site verification,https://vitfa.com/,Self-description observed; supplier-verification claims were not independently tested.
IranHubex,C5,ایرانی و منطقه مبدأ,https://en.iranhubex.com/,Iran Hubex,IranHubex,brand/operator; legal entity not fully verified,Iran; legal entity not verified,English; Persian site inferred but not tested,Iran product showcase/direct-contact marketplace,Iranian export products,Iran to global,DNS failure in sandbox; search-indexed,not observed,,,https://tranco-list.eu/api/ranks/domain/en.iranhubex.com,0,1,2,1,https://en.iranhubex.com/,official/platform primary,2026-08-23,low,include,,systematic category seed + official-site verification,https://en.iranhubex.com/,Direct DNS resolution failed in sandbox; indexed official-page content was available.
eCasb,C5,ایرانی و منطقه مبدأ,https://www.ecasb.com/,Ecasb; e-casb,eCasb,brand/operator; legal entity not fully verified,Iran,Persian; English advertised,B2B directory/marketplace,Iranian companies; energy and general sectors,Iran,public-indexed,public browse; workflow not observed,1207609,2026-08-22,https://tranco-list.eu/api/ranks/domain/ecasb.com,0,1,2,2,https://www.ecasb.com/,official/platform primary,2026-08-23,medium,include,,systematic category seed + official-site verification,https://www.ecasb.com/,
IranMadeX,C5,ایرانی و منطقه مبدأ,https://iranmadex.com/en,Iran Madex; Iran Made,Iran Made,brand/operator; legal entity not fully verified,Iran; legal entity not verified,English,manufacturer showcase/B2B marketplace,Iranian manufacturers,Iran to global,public landing observed,public browse; account for contact,,,https://tranco-list.eu/api/ranks/domain/iranmadex.com,0,1,2,2,https://iranmadex.com/en,official/platform primary,2026-08-23,low,include,,systematic category seed + official-site verification,https://iranmadex.com/en,Large self-reported scale claims were excluded from scoring; no Tranco rank returned.
Abrisham Road,C5,ایرانی و منطقه مبدأ,https://abrishamroad.com/,AbrishamRoad,Abrisham Road,brand/operator; legal entity not fully verified,Iran; legal entity not verified,English,wholesale supplier discovery/RFQ marketplace,Iranian suppliers,Iran to global,public landing observed,public browse; account for RFQ,,,https://tranco-list.eu/api/ranks/domain/abrishamroad.com,0,1,2,2,https://abrishamroad.com/,official/platform primary,2026-08-23,low,include,,systematic category seed + official-site verification,https://abrishamroad.com/,Self-reported customer count excluded; no Tranco rank returned.
SJN Iran,C5,ایرانی و منطقه مبدأ,https://www.sjn.ir/,SJN.ir,SJN,brand/operator; legal entity not fully verified,Germany/Iran portal; operator relation not fully verified,English,industrial supplier directory/order inquiry,industrial/technology suppliers in Iran,Iran; international portal network,public landing observed,public browse; account/contact for inquiry,,,https://tranco-list.eu/api/ranks/domain/sjn.ir,0,2,2,1,https://www.sjn.ir/,official/platform primary,2026-08-23,medium,include,,systematic category seed + official-site verification,https://www.sjn.ir/,Country records portal geography; legal operator needs terms-page confirmation.
Amazon Business,C6,مقایسه غیرمستقیم,https://business.amazon.com/,AmazonBusiness,Amazon,official source,United States,Multiple regional languages,business procurement marketplace,indirect benchmark: procurement/payment/logistics,selected countries,public-indexed,account required for business pricing/order,,,https://tranco-list.eu/api/ranks/domain/business.amazon.com,0,1,1,2,https://business.amazon.com/,official/platform primary,2026-08-23,high,include,,systematic category seed + official-site verification,https://business.amazon.com/,Canonical subdomain returned no Tranco rank; parent-domain rank was not substituted.
Faire,C6,مقایسه غیرمستقیم,https://www.faire.com/,,"Faire Wholesale, Inc.",official source,United States,English; localized regional sites,wholesale marketplace,independent retail wholesale,North America/Europe,public-indexed,account required for pricing/order,9338,2026-08-22,https://tranco-list.eu/api/ranks/domain/faire.com,2,2,1,2,https://www.faire.com/,official/platform primary,2026-08-23,high,include,,systematic category seed + official-site verification,https://www.faire.com/,
Ankorstore,C6,مقایسه غیرمستقیم,https://www.ankorstore.com/,,Ankorstore SAS,official source,France,Multiple European languages,wholesale marketplace,independent retail wholesale,Europe,public-indexed,account required for pricing/order,73714,2026-08-22,https://tranco-list.eu/api/ranks/domain/ankorstore.com,2,2,1,2,https://www.ankorstore.com/,official/platform primary,2026-08-23,high,include,,systematic category seed + official-site verification,https://www.ankorstore.com/,
RangeMe,C6,مقایسه غیرمستقیم,https://www.rangeme.com/,,RangeMe / ECRM,brand/operator; legal entity not fully verified,United States,English,retail buyer-product discovery platform,retail product discovery,North America/global supplier intake,public-indexed,account required for submissions/contact,273562,2026-08-22,https://tranco-list.eu/api/ranks/domain/rangeme.com,1,2,1,1,https://www.rangeme.com/,official/platform primary,2026-08-23,medium,include,,systematic category seed + official-site verification,https://www.rangeme.com/,
Stripe Identity,C7,لایه‌های خدمت,https://stripe.com/identity,Stripe Identity,Stripe,official source,United States/Ireland operating group,English; localized docs,identity verification API/service,KYC/identity,global subject to availability,public-indexed,docs public; account for integration,238,2026-08-22,https://tranco-list.eu/api/ranks/domain/stripe.com,2,2,1,2,https://stripe.com/identity,official/platform primary,2026-08-23,high,include,,systematic category seed + official-site verification,https://stripe.com/identity,
Escrow.com,C7,لایه‌های خدمت,https://www.escrow.com/,Escrow.com,Escrow.com / Freelancer Limited,brand/operator; legal entity not fully verified,United States/Australia parent,English; some localized pages,licensed online escrow service,escrow/payment assurance,supported jurisdictions,public-indexed,public information; account for transaction,72635,2026-08-22,https://tranco-list.eu/api/ranks/domain/escrow.com,2,2,1,2,https://www.escrow.com/,official/platform primary,2026-08-23,medium,include,,systematic category seed + official-site verification,https://www.escrow.com/,
SGS,C7,لایه‌های خدمت,https://www.sgs.com/,,SGS SA,official source,Switzerland,Multilingual country sites,testing/inspection/certification services,inspection and assurance,global,public-indexed,public information; quote/contact for service,12578,2026-08-22,https://tranco-list.eu/api/ranks/domain/sgs.com,2,2,2,2,https://www.sgs.com/,official/platform primary,2026-08-23,high,include,,systematic category seed + official-site verification,https://www.sgs.com/,
Allianz Trade,C7,لایه‌های خدمت,https://www.allianz-trade.com/,Euler Hermes,Euler Hermes SA / Allianz Trade,official source,France/Allianz Group,Multilingual country sites,trade credit insurance and risk services,credit insurance,global subject to country availability,public-indexed,public information; contact for quote,56697,2026-08-22,https://tranco-list.eu/api/ranks/domain/allianz-trade.com,2,2,1,2,https://www.allianz-trade.com/,official/platform primary,2026-08-23,high,include,,systematic category seed + official-site verification,https://www.allianz-trade.com/,Alias retained after brand change; service availability for Iran not assessed.
Flexport,C7,لایه‌های خدمت,https://www.flexport.com/,,"Flexport, Inc.",official source,United States,English; regional sites,digital freight forwarding/logistics platform,freight/logistics,global routes subject to availability,public-indexed,public information; account/quote for shipment,7758,2026-08-22,https://tranco-list.eu/api/ranks/domain/flexport.com,2,2,2,2,https://www.flexport.com/,official/platform primary,2026-08-23,high,include,,systematic category seed + official-site verification,https://www.flexport.com/,
Drip Capital,C7,لایه‌های خدمت,https://www.dripcapital.com/,,"Drip Capital, Inc.",official source,United States,English; regional sites,trade finance platform,trade finance,selected markets,public-indexed,public information; application for finance,492858,2026-08-22,https://tranco-list.eu/api/ranks/domain/dripcapital.com,1,2,1,2,https://www.dripcapital.com/,official/platform primary,2026-08-23,high,include,,systematic category seed + official-site verification,https://www.dripcapital.com/,
Alibaba (www alias),C1,عمومی جهانی,https://www.alibaba.com/,www.alibaba.com,Alibaba Group,official source,China,English,alias only,general,global,not separately assessed,n/a,302,2026-08-22,https://tranco-list.eu/api/ranks/domain/alibaba.com,2,0,0,0,https://www.alibaba.com/,official/platform primary,2026-08-23,high,exclude-duplicate,Alibaba.com,systematic category seed + official-site verification,https://www.alibaba.com/,Exact canonical-domain duplicate after removing www; retained only in raw log.
