dimension_id,group,field_name,question,evidence_state,observed_fact,evidence_url,evidence_type,observed_at,region,access_mode,confidence,actor,input,output,system_state,exception_path,cost_time,risk,dependency,inference,gap_reason,next_method,product_implication,metric_name,metric_value,metric_unit,metric_currency,metric_period,metric_territory,metric_classification,metric_method,metric_publisher,source_title,source_publication_date,validation_status,validation_errors,template_version
D24,D21-D30 Supplier tools,product_creation,Is product creation evidenced?,observed,"Official setup documentation links upload/edit flows and requires inventory, attributes, weight/dimensions, delivery, battery and return/refund data for online purchase.",https://sourcingsupport.hktdc.com/hc/en-us/articles/360051428733-Configure-Online-Purchase-Setting-2-min-22-sec,official-support,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,supplier,product and fulfillment data,product listing,,,,,authenticated supplier account,,,,Use conditional fields when online purchase is enabled.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D25,D21-D30 Supplier tools,product_specifications,Are structured specifications displayed?,observed,"Sample product exposes feature, light source, voltage, color, packing, wattage, width and IP attributes in text/fields.",https://sourcing.hktdc.com/en/Product-Detail/LED-zigzag-strip-bendable-1Z03NRSP5,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,supplier; buyer,,product specifications,,,,Structure versus free text varies.,,,,,Capture structured attributes and narrative separately.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D26,D21-D30 Supplier tools,price_moq,Are price and MOQ visible?,observed,Sample product displays US$1–US$2 per meter; MOQ was not visible on that inspected listing.,https://sourcing.hktdc.com/en/Product-Detail/LED-zigzag-strip-bendable-1Z03NRSP5,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,buyer,,price range; MOQ gap,,,,Single listing and supplier-entered terms.,,,MOQ absent on inspected sample.,Sample additional listings in a future dossier.,Price and MOQ must be separate nullable fields.,displayed unit price lower bound,1,USD per meter,USD,snapshot 2026-08-24,sample listing; Hong Kong supplier,product listing,direct transcription without rounding,Simlux Technology Limited via HKTDC Sourcing,LED zigzag strip bendable,supplier info updated 2026-05-06,pass,,RND-D00-D73-v1
D27,D21-D30 Supplier tools,capacity_lead_time,Are capacity and lead time visible?,observed,Sample product displays production lead time of 7 days; production capacity was not shown on the inspected detail.,https://sourcing.hktdc.com/en/Product-Detail/LED-zigzag-strip-bendable-1Z03NRSP5,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,buyer,,lead-time value; capacity gap,,,,,,,Capacity absent on sample.,Inspect production-capabilities profile and additional listings manually.,Capacity and lead time require independent evidence.,production lead time,7,days,not applicable,current listing snapshot,sample listing; Hong Kong supplier,supplier listing field,direct transcription,Simlux Technology Limited via HKTDC Sourcing,LED zigzag strip bendable,supplier info updated 2026-05-06,pass,,RND-D00-D73-v1
D28,D21-D30 Supplier tools,rfq_creation,Can a buyer submit an RFQ?,observed,"Guest RFQ form asks email first, then product/service name, category, expiry, optional image and request details, with Terms/Privacy acknowledgement.",https://sourcing.hktdc.com/en/Grfq,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,buyer,"email, requirement, category, expiry, optional image",RFQ submission,email gate -> editable request -> submitted,,,Submission not performed.,,,,,Represent staged forms and consent evidence.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D29,D21-D30 Supplier tools,rfq_response,Can suppliers view/respond to RFQs?,observed,"Public RFQ list exposes buyer leads, category search and Quote Now action; supplier package includes quotation quota.",https://sourcing.hktdc.com/en/request-for-quotation,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,supplier,buyer lead,quotation entry,,,,,supplier entitlement/login likely required,,,,Record quota and auth requirements when observed.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D30,D21-D30 Supplier tools,messaging,Is messaging/file exchange evidenced?,observed,Official overview names Message Centre instant messaging and file exchange; navigation links Message Centre.,https://sourcing.hktdc.com/newsbites/tips/hktdc-sourcing/,official-editorial-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,buyer; supplier,,conversation and files,,,,Retention and malware controls not assessed.,account,,,,"Message schema should include attachment, retention and moderation states.",,,,,,,,,,,,pass,,RND-D00-D73-v1
D31,D31-D40 Transaction,quotation,Is quotation workflow evidenced?,observed,RFQ list provides Quote Now and HKTDC describes quotation/negotiation processes.,https://sourcing.hktdc.com/en/request-for-quotation,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,supplier,RFQ,quotation,,,,,,,,,"Store quote versions, validity and terms when later observed.",,,,,,,,,,,,pass,,RND-D00-D73-v1
D32,D31-D40 Transaction,sample_workflow,Is a platform-managed sample workflow visible?,observed-not-found,No public guest-mode evidence found in the inspected page/source.,https://sourcing.hktdc.com/en/Product-Detail/LED-zigzag-strip-bendable-1Z03NRSP5,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,medium,,,,,,,Do not infer capability from absence in guest evidence.,,,"Supplier text invites catalogue/sample contact, but no platform sample order state was observed.",Use authorized messaging walkthrough and inspect whether sample requests are typed or structured.,Do not infer sample fulfillment from supplier copy.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D33,D31-D40 Transaction,negotiation,Is negotiation supported?,observed,Official overview describes simple quotation and negotiation processes and Message Centre communication.,https://sourcing.hktdc.com/newsbites/tips/hktdc-sourcing/,official-editorial-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,medium,buyer; supplier,quote/messages,negotiated terms,,,,Exact states and audit trail not observed.,,,,,Template should separate documented capability from direct workflow steps.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D34,D31-D40 Transaction,order_creation,Is an order flow documented?,observed,Eligible online-purchase products can be added to cart; checkout creates separate orders per supplier.,https://sourcingsupport.hktdc.com/hc/en-us/articles/360051421934-How-do-I-make-a-payment-for-Online-Purchase-1min-41sec,official-support,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,buyer,"eligible product, quantity, address, shipping",order,,,,,online-purchase-enabled listing,,,,Order groups are supplier-scoped.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D35,D31-D40 Transaction,po_pi_documents,Are platform-generated PO or pro-forma invoice documents evidenced?,observed-not-found,No public guest-mode evidence found in the inspected page/source.,https://sourcingsupport.hktdc.com/hc/en-us/articles/360051421934-How-do-I-make-a-payment-for-Online-Purchase-1min-41sec,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,medium,,,,,,,Do not infer capability from absence in guest evidence.,,,Inspected checkout/order support did not identify generated PO or PI documents.,Inspect authenticated order documents or supplier/buyer downloads with authorization.,Document generation cannot be assumed from order creation.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D36,D31-D40 Transaction,checkout,What checkout steps are documented?,observed,"Buyer selects same-supplier items, checkout, shipping address, shipping option or waits for fee, then payment settlement.",https://sourcingsupport.hktdc.com/hc/en-us/articles/360051421934-How-do-I-make-a-payment-for-Online-Purchase-1min-41sec,official-support,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,buyer,cart and address,payment-ready order,,No shipping option -> wait for supplier shipping quote.,,,,,,,State machine needs shipping-fee gate.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D37,D31-D40 Transaction,payment_methods,Which payment methods are stated?,observed,Official support presents PayPal or Credit Card at settlement; supplier setup requires a PayPal Business account to receive proceeds.,https://sourcingsupport.hktdc.com/hc/en-us/articles/360051421934-How-do-I-make-a-payment-for-Online-Purchase-1min-41sec,official-support,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,buyer; supplier,payment selection,external settlement,,,,Availability by country and card type not tested.,PayPal/third-party payment processor,,,,"Record processor, payer method and payee rail separately.",,,,,,,,,,,,pass,,RND-D00-D73-v1
D38,D31-D40 Transaction,escrow_buyer_protection,Is escrow or platform-held funds evidenced?,observed-not-found,No public guest-mode evidence found in the inspected page/source.,https://sourcingsupport.hktdc.com/hc/en-us/articles/360052189613-What-should-I-do-if-I-don-t-receive-updates-from-the-supplier-after-payment,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,medium,,,,,,,Do not infer capability from absence in guest evidence.,,,Official support routes payment disputes to PayPal Resolution Centre; no HKTDC escrow/hold-release mechanism was found.,Review service-specific terms and PayPal protections with FIN/LEG; do not create a transaction.,Model external dispute rail separately from escrow.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D39,D31-D40 Transaction,notifications,Are notification surfaces visible?,observed,"Guest navigation links notification mailbox; order docs refer to status-driven workflow, but delivery channels were not tested.",https://sourcing.hktdc.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,account user,,notification surface,,,,,account,,Email/push rules not observed.,Inspect authenticated notification settings later.,"Capture event, channel and preference separately.",,,,,,,,,,,,pass,,RND-D00-D73-v1
D40,D31-D40 Transaction,order_status,Which order states are documented?,observed,"Official support lists Pending Shipping Fee, Awaiting Buyer’s Payment, Payment in Review by PayPal, Payment Settled and Cancelled.",https://sourcingsupport.hktdc.com/hc/en-us/articles/360050682234-Order-management-1-min-28-sec,official-support,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,supplier; buyer,,order state,,,,No shipment/delivery states were present in this source.,,,,,Use exact externally documented state labels.,documented payment/order states,5,states,not applicable,support snapshot 2026-08-24,HKTDC Sourcing,order-state taxonomy,direct count of listed status rows,Hong Kong Trade Development Council,Order management,not stated,pass,,RND-D00-D73-v1
D41,D41-D50 Fulfillment,shipping_quote,How is shipping price handled?,observed,"If no shipping option is available, checkout pauses until the supplier quotes shipping fee and arrangement.",https://sourcingsupport.hktdc.com/hc/en-us/articles/360051421934-How-do-I-make-a-payment-for-Online-Purchase-1min-41sec,official-support,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,supplier,order destination/details,shipping fee,Pending Shipping Fee -> Awaiting Buyer Payment,,,,,,,,Shipping quote is a blocking order state.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D42,D41-D50 Fulfillment,carrier_freight,Are logistics integrations/settings evidenced?,observed,"Supplier setup supports free shipping or supplier-entered shipping details; official support also references linked logistics services, but no shipment was executed.",https://sourcingsupport.hktdc.com/hc/en-us/articles/360051428733-Configure-Online-Purchase-Setting-2-min-22-sec,official-support,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,supplier,"countries, duration, description or fee",shipping option,,,,Carrier availability and service levels not tested.,,,,,Separate native settings from third-party logistics execution.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D43,D41-D50 Fulfillment,incoterms,Are Incoterms structured in product/order UI?,observed-not-found,No public guest-mode evidence found in the inspected page/source.,https://sourcing.hktdc.com/en/Product-Detail/LED-zigzag-strip-bendable-1Z03NRSP5,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,medium,,,,,,,Do not infer capability from absence in guest evidence.,,,No structured Incoterm field was observed on the sample product or inspected checkout guidance.,Inspect authenticated quote/order forms and multiple listings manually.,Do not infer Incoterm support from free-text RFQs.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D44,D41-D50 Fulfillment,trade_documents,"Are invoice, packing list, COO or bill-of-lading workflows shown?",observed-not-found,No public guest-mode evidence found in the inspected page/source.,https://sourcingsupport.hktdc.com/hc/en-us/articles/360050682234-Order-management-1-min-28-sec,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,medium,,,,,,,Do not infer capability from absence in guest evidence.,,,No trade-document generation or lifecycle was described in inspected public order support.,Inspect authenticated order downloads; hand off legal/trade meaning to TRADE/LEG.,Template should list each document and issuer independently.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D45,D41-D50 Fulfillment,shipment_tracking,Is platform shipment tracking evidenced?,observed-not-found,No public guest-mode evidence found in the inspected page/source.,https://sourcingsupport.hktdc.com/hc/en-us/articles/360050682234-Order-management-1-min-28-sec,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,medium,,,,,,,Do not infer capability from absence in guest evidence.,,,Inspected order-state source stops at payment/cancel states and did not show tracking.,Review logistics support and authenticated fulfilled-order states.,Never equate payment state with shipment state.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D46,D41-D50 Fulfillment,inspection,Is transactional inspection ordering evidenced?,observed-not-found,No public guest-mode evidence found in the inspected page/source.,https://sourcing.hktdc.com/newsbites/tips/certification/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,medium,,,,,,,Do not infer capability from absence in guest evidence.,,,"Certification verification is documented, but no order-linked pre-shipment inspection workflow was observed.",Search authorized service catalog and consult INSP in a separate task.,Separate credential verification from shipment inspection.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D47,D41-D50 Fulfillment,delivery_confirmation,Is buyer delivery acceptance evidenced?,observed-not-found,No public guest-mode evidence found in the inspected page/source.,https://sourcingsupport.hktdc.com/hc/en-us/articles/360050682234-Order-management-1-min-28-sec,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,medium,,,,,,,Do not infer capability from absence in guest evidence.,,,No delivery-confirmation/acceptance state appeared in the inspected order documentation.,Inspect completed order workflow with an authorized test account/order fixture.,Funds release must not be inferred without acceptance evidence.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D48,D41-D50 Fulfillment,returns_refunds,Are return/refund terms captured?,observed,Supplier product setup requires a return and refund policy for online-purchase products; execution flow was not observed.,https://sourcingsupport.hktdc.com/hc/en-us/articles/360051428733-Configure-Online-Purchase-Setting-2-min-22-sec,official-support,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,supplier,return/refund policy,listing policy,,,,Policy is supplier-provided and may vary.,,,No operational return state observed.,Inspect eligible listing and buyer support manually.,Store policy text/version separately from claim execution.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D49,D41-D50 Fulfillment,claims,Where can post-payment issues be raised?,observed,HKTDC support directs users with no supplier update after payment to PayPal Resolution Centre.,https://sourcingsupport.hktdc.com/hc/en-us/articles/360052189613-What-should-I-do-if-I-don-t-receive-updates-from-the-supplier-after-payment,official-support,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,buyer,payment dispute,PayPal case,,,,External process and jurisdiction/eligibility vary.,PayPal,,,,Record claim owner and external handoff.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D50,D41-D50 Fulfillment,dispute_resolution,Is dispute resolution native or external?,observed,The inspected support article identifies PayPal Resolution Centre for payment disputes; no native HKTDC adjudication workflow was observed.,https://sourcingsupport.hktdc.com/hc/en-us/articles/360052189613-What-should-I-do-if-I-don-t-receive-updates-from-the-supplier-after-payment,official-support,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,buyer; PayPal,,external dispute process,,,,"No conclusion, SLA or remedy observed.",,,,,Distinguish support escalation from adjudication.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D51,D51-D60 Trust,supplier_verification,How is supplier/certificate verification evidenced?,observed,HKTDC says TÜV SÜD and Intertek verify supplier certificate labels annually; verification date can appear on supplier store.,https://sourcing.hktdc.com/newsbites/tips/certification/,official-guidance,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,third-party verifier; supplier; buyer,certificates/supporting documents,verification label/date,,,,"Scope is certificate-label verification, not a guarantee of transaction performance.",,,,,"Badge taxonomy must include verifier, scope and date.",certificate-label verification frequency,1,time per year,not applicable,annual,suppliers on HKTDC Sourcing,certificate verification,publisher-stated frequency,Hong Kong Trade Development Council,Product Certification & Third-Party Verification Services,2023-05-03; modified 2025-01-06,pass,,RND-D00-D73-v1
