site_id,canonical_name,category_code,category_name,canonical_url,canonical_domain,aliases,owner_operator,owner_verification,country_or_territory,languages,marketplace_model,specialization,geography,access_status,login_requirement,robots_terms_status,observation_limitations,traffic_proxy,traffic_rank,traffic_rank_date,traffic_source_url,traffic_score,specialty_score,geography_score,model_score,total_score,tier,primary_source_url,source_type,accessed_at,confidence,notes
S011,TradeWheel,C2,عمومی منطقه‌ای,https://www.tradewheel.com/,tradewheel.com,,TradeWheel,brand/operator; legal entity not fully verified,Pakistan (operator location not fully verified),English,B2B directory/leads + memberships,general B2B,global; MENA/South Asia relevance,public-indexed,public browse; account for inquiry,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),100995,2026-08-22,https://tranco-list.eu/api/ranks/domain/tradewheel.com,1,1,2,1,5,B,https://www.tradewheel.com/,official/platform primary,2026-08-23,medium,
S012,Qoovee,C2,عمومی منطقه‌ای,https://www.qoovee.com/,qoovee.com,,Qoovee,brand/operator; legal entity not fully verified,Kyrgyzstan/Central Asia focus; legal domicile not verified,English; Russian and other advertised locales,wholesale marketplace + tender/logistics,general B2B,Central Asia/CIS/global,public-indexed,public browse; account for tender/contact,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),471755,2026-08-22,https://tranco-list.eu/api/ranks/domain/qoovee.com,1,1,2,2,6,B,https://www.qoovee.com/en/,official/platform primary,2026-08-23,medium,
S013,Tradeling,C2,عمومی منطقه‌ای,https://www.tradeling.com/,tradeling.com,,Tradeling,brand/operator; legal entity not fully verified,United Arab Emirates,English; Arabic,regional B2B e-commerce marketplace,general business procurement,MENA,public-indexed,public browse; account for order,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),173512,2026-08-22,https://tranco-list.eu/api/ranks/domain/tradeling.com,1,1,2,2,6,B,https://www.tradeling.com/,official/platform primary,2026-08-23,medium,
S014,Abraa,C2,عمومی منطقه‌ای,https://www.abraa.com/,abraa.com,,Abraa,official source,United Arab Emirates,English; Arabic,B2B wholesale marketplace + service layer,general wholesale,MENA/global,public landing observed,public browse; account for order/contact,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),1184187,2026-08-22,https://tranco-list.eu/api/ranks/domain/abraa.com,0,1,2,2,5,B,https://www.abraa.com/,official/platform primary,2026-08-23,high,
S015,Zandaux,C2,عمومی منطقه‌ای,https://www.zandaux.com/,zandaux.com,,Zandaux,brand/operator; legal entity not fully verified,Africa; legal domicile not verified,English,pan-African B2B e-commerce marketplace,general B2B,Africa,public-indexed,public browse; transaction flow not observed,not tested; no automated crawling performed,No Tranco rank returned; operator identity requires legal-page verification.,Tranco rank (lower is stronger; not a visit count),,,https://tranco-list.eu/api/ranks/domain/zandaux.com,0,1,1,2,4,C,https://www.zandaux.com/,official/platform primary,2026-08-23,low,No Tranco rank returned; operator identity requires legal-page verification.
S016,Tridge,C3,کشاورزی و غذا,https://www.tridge.com/,tridge.com,,"Tridge Co., Ltd.",brand/operator; legal entity not fully verified,South Korea,English; localized content,agri-food sourcing/data/fulfillment platform,agriculture and food,global,public-indexed,public data browse; account for sourcing,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),83663,2026-08-22,https://tranco-list.eu/api/ranks/domain/tridge.com,2,2,2,2,8,A,https://www.tridge.com/,official/platform primary,2026-08-23,medium,
S017,go4WorldBusiness,C3,کشاورزی و غذا,https://www.go4worldbusiness.com/,go4worldbusiness.com,Go4WorldBusiness,Wyzen Systems Private Limited,brand/operator; legal entity not fully verified,India,English,B2B marketplace/RFQ; strong food-agri categories,agriculture/food within general marketplace,global,public-indexed,public browse; account for contact,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),76210,2026-08-22,https://tranco-list.eu/api/ranks/domain/go4worldbusiness.com,2,2,2,1,7,A,https://www.go4worldbusiness.com/,official/platform primary,2026-08-23,medium,
S018,Wikifarmer Marketplace,C3,کشاورزی و غذا,https://wikifarmer.com/market/,wikifarmer.com,Wikifarmer,Wikifarmer,brand/operator; legal entity not fully verified,Greece,Multilingual,agricultural B2B marketplace,agriculture and food,Europe/global,public-indexed,public browse; account for transaction,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),178500,2026-08-22,https://tranco-list.eu/api/ranks/domain/wikifarmer.com,1,2,1,2,6,B,https://wikifarmer.com/market/,official/platform primary,2026-08-23,medium,
S019,Selina Wamucii,C3,کشاورزی و غذا,https://www.selinawamucii.com/,selinawamucii.com,,Selina Wamucii,brand/operator; legal entity not fully verified,Kenya,English,agri-food sourcing and market information,agriculture and food,Africa/global,public-indexed,public browse; sourcing flow not fully observed,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),232223,2026-08-22,https://tranco-list.eu/api/ranks/domain/selinawamucii.com,1,2,1,1,5,B,https://www.selinawamucii.com/,official/platform primary,2026-08-23,medium,
S020,HelloChoice,C3,کشاورزی و غذا,https://hellochoice.co.za/,hellochoice.co.za,,HelloChoice,brand/operator; legal entity not fully verified,South Africa,English,digital produce marketplace/auction,fresh agricultural produce,South Africa,public-indexed,public landing; account for trade,not tested; no automated crawling performed,No Tranco rank returned.,Tranco rank (lower is stronger; not a visit count),,,https://tranco-list.eu/api/ranks/domain/hellochoice.co.za,0,2,1,2,5,B,https://hellochoice.co.za/,official/platform primary,2026-08-23,medium,No Tranco rank returned.
S021,Thomasnet,C4,صنعتی/تولیدی,https://www.thomasnet.com/,thomasnet.com,Thomas,"Xometry, Inc.",brand/operator; legal entity not fully verified,United States,English,industrial supplier discovery/RFQ directory,industrial manufacturing,North America,public-indexed,public browse; account for shortlist/RFQ,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),17447,2026-08-22,https://tranco-list.eu/api/ranks/domain/thomasnet.com,2,2,1,1,6,B,https://www.thomasnet.com/,official/platform primary,2026-08-23,medium,
S022,DirectIndustry,C4,صنعتی/تولیدی,https://www.directindustry.com/,directindustry.com,,VirtualExpo Group,brand/operator; legal entity not fully verified,France,Multilingual,industrial product/supplier directory and quote requests,industrial equipment,global,public-indexed,public browse; account/contact for quote,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),42410,2026-08-22,https://tranco-list.eu/api/ranks/domain/directindustry.com,2,2,1,1,6,B,https://www.directindustry.com/,official/platform primary,2026-08-23,medium,
S023,Xometry,C4,صنعتی/تولیدی,https://www.xometry.com/,xometry.com,,"Xometry, Inc.",official source,United States,English; localized regional sites,on-demand manufacturing marketplace,custom manufacturing,North America/global,public-indexed,public browse; account/upload for quote,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),70189,2026-08-22,https://tranco-list.eu/api/ranks/domain/xometry.com,2,2,1,2,7,A,https://www.xometry.com/,official/platform primary,2026-08-23,high,
S024,MFG.com,C4,صنعتی/تولیدی,https://www.mfg.com/,mfg.com,MFG,MFG.com,brand/operator; legal entity not fully verified,United States; legal operator not reverified,English,manufacturing RFQ marketplace,custom manufacturing,global,public-indexed,public landing; account for RFQ,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),205650,2026-08-22,https://tranco-list.eu/api/ranks/domain/mfg.com,1,2,1,2,6,B,https://www.mfg.com/,official/platform primary,2026-08-23,medium,
S025,IndustryStock,C4,صنعتی/تولیدی,https://www.industrystock.com/,industrystock.com,,Deutscher Medien Verlag GmbH,brand/operator; legal entity not fully verified,Germany,Multilingual,industrial supplier/product directory,industrial manufacturing,global/Europe,public-indexed,public browse; account/contact for inquiry,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),133428,2026-08-22,https://tranco-list.eu/api/ranks/domain/industrystock.com,1,2,1,1,5,B,https://www.industrystock.com/,official/platform primary,2026-08-23,medium,
S026,VITFA,C5,ایرانی و منطقه مبدأ,https://vitfa.com/,vitfa.com,Vitfa,VITFA,brand/operator; legal entity not fully verified,Iran; legal entity not verified,English,Iran-focused wholesale marketplace,Iranian export products,Iran to global,public landing observed,public browse; account for listing/order,not tested; no automated crawling performed,Self-description observed; supplier-verification claims were not independently tested.,Tranco rank (lower is stronger; not a visit count),1384295,2026-08-22,https://tranco-list.eu/api/ranks/domain/vitfa.com,0,1,2,2,5,B,https://vitfa.com/,official/platform primary,2026-08-23,medium,Self-description observed; supplier-verification claims were not independently tested.
S027,IranHubex,C5,ایرانی و منطقه مبدأ,https://en.iranhubex.com/,en.iranhubex.com,Iran Hubex,IranHubex,brand/operator; legal entity not fully verified,Iran; legal entity not verified,English; Persian site inferred but not tested,Iran product showcase/direct-contact marketplace,Iranian export products,Iran to global,DNS failure in sandbox; search-indexed,not observed,not tested; no automated crawling performed,Direct DNS resolution failed in sandbox; indexed official-page content was available.,Tranco rank (lower is stronger; not a visit count),,,https://tranco-list.eu/api/ranks/domain/en.iranhubex.com,0,1,2,1,4,C,https://en.iranhubex.com/,official/platform primary,2026-08-23,low,Direct DNS resolution failed in sandbox; indexed official-page content was available.
S028,eCasb,C5,ایرانی و منطقه مبدأ,https://www.ecasb.com/,ecasb.com,Ecasb; e-casb,eCasb,brand/operator; legal entity not fully verified,Iran,Persian; English advertised,B2B directory/marketplace,Iranian companies; energy and general sectors,Iran,public-indexed,public browse; workflow not observed,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),1207609,2026-08-22,https://tranco-list.eu/api/ranks/domain/ecasb.com,0,1,2,2,5,B,https://www.ecasb.com/,official/platform primary,2026-08-23,medium,
S029,IranMadeX,C5,ایرانی و منطقه مبدأ,https://iranmadex.com/en,iranmadex.com,Iran Madex; Iran Made,Iran Made,brand/operator; legal entity not fully verified,Iran; legal entity not verified,English,manufacturer showcase/B2B marketplace,Iranian manufacturers,Iran to global,public landing observed,public browse; account for contact,not tested; no automated crawling performed,Large self-reported scale claims were excluded from scoring; no Tranco rank returned.,Tranco rank (lower is stronger; not a visit count),,,https://tranco-list.eu/api/ranks/domain/iranmadex.com,0,1,2,2,5,B,https://iranmadex.com/en,official/platform primary,2026-08-23,low,Large self-reported scale claims were excluded from scoring; no Tranco rank returned.
S030,Abrisham Road,C5,ایرانی و منطقه مبدأ,https://abrishamroad.com/,abrishamroad.com,AbrishamRoad,Abrisham Road,brand/operator; legal entity not fully verified,Iran; legal entity not verified,English,wholesale supplier discovery/RFQ marketplace,Iranian suppliers,Iran to global,public landing observed,public browse; account for RFQ,not tested; no automated crawling performed,Self-reported customer count excluded; no Tranco rank returned.,Tranco rank (lower is stronger; not a visit count),,,https://tranco-list.eu/api/ranks/domain/abrishamroad.com,0,1,2,2,5,B,https://abrishamroad.com/,official/platform primary,2026-08-23,low,Self-reported customer count excluded; no Tranco rank returned.
S031,SJN Iran,C5,ایرانی و منطقه مبدأ,https://www.sjn.ir/,sjn.ir,SJN.ir,SJN,brand/operator; legal entity not fully verified,Germany/Iran portal; operator relation not fully verified,English,industrial supplier directory/order inquiry,industrial/technology suppliers in Iran,Iran; international portal network,public landing observed,public browse; account/contact for inquiry,not tested; no automated crawling performed,Country records portal geography; legal operator needs terms-page confirmation.,Tranco rank (lower is stronger; not a visit count),,,https://tranco-list.eu/api/ranks/domain/sjn.ir,0,2,2,1,5,B,https://www.sjn.ir/,official/platform primary,2026-08-23,medium,Country records portal geography; legal operator needs terms-page confirmation.
S032,Amazon Business,C6,مقایسه غیرمستقیم,https://business.amazon.com/,business.amazon.com,AmazonBusiness,Amazon,official source,United States,Multiple regional languages,business procurement marketplace,indirect benchmark: procurement/payment/logistics,selected countries,public-indexed,account required for business pricing/order,not tested; no automated crawling performed,Canonical subdomain returned no Tranco rank; parent-domain rank was not substituted.,Tranco rank (lower is stronger; not a visit count),,,https://tranco-list.eu/api/ranks/domain/business.amazon.com,0,1,1,2,4,C,https://business.amazon.com/,official/platform primary,2026-08-23,high,Canonical subdomain returned no Tranco rank; parent-domain rank was not substituted.
S033,Faire,C6,مقایسه غیرمستقیم,https://www.faire.com/,faire.com,,"Faire Wholesale, Inc.",official source,United States,English; localized regional sites,wholesale marketplace,independent retail wholesale,North America/Europe,public-indexed,account required for pricing/order,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),9338,2026-08-22,https://tranco-list.eu/api/ranks/domain/faire.com,2,2,1,2,7,A,https://www.faire.com/,official/platform primary,2026-08-23,high,
S034,Ankorstore,C6,مقایسه غیرمستقیم,https://www.ankorstore.com/,ankorstore.com,,Ankorstore SAS,official source,France,Multiple European languages,wholesale marketplace,independent retail wholesale,Europe,public-indexed,account required for pricing/order,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),73714,2026-08-22,https://tranco-list.eu/api/ranks/domain/ankorstore.com,2,2,1,2,7,A,https://www.ankorstore.com/,official/platform primary,2026-08-23,high,
S035,RangeMe,C6,مقایسه غیرمستقیم,https://www.rangeme.com/,rangeme.com,,RangeMe / ECRM,brand/operator; legal entity not fully verified,United States,English,retail buyer-product discovery platform,retail product discovery,North America/global supplier intake,public-indexed,account required for submissions/contact,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),273562,2026-08-22,https://tranco-list.eu/api/ranks/domain/rangeme.com,1,2,1,1,5,B,https://www.rangeme.com/,official/platform primary,2026-08-23,medium,
S036,Stripe Identity,C7,لایه‌های خدمت,https://stripe.com/identity,stripe.com,Stripe Identity,Stripe,official source,United States/Ireland operating group,English; localized docs,identity verification API/service,KYC/identity,global subject to availability,public-indexed,docs public; account for integration,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),238,2026-08-22,https://tranco-list.eu/api/ranks/domain/stripe.com,2,2,1,2,7,A,https://stripe.com/identity,official/platform primary,2026-08-23,high,
S037,Escrow.com,C7,لایه‌های خدمت,https://www.escrow.com/,escrow.com,Escrow.com,Escrow.com / Freelancer Limited,brand/operator; legal entity not fully verified,United States/Australia parent,English; some localized pages,licensed online escrow service,escrow/payment assurance,supported jurisdictions,public-indexed,public information; account for transaction,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),72635,2026-08-22,https://tranco-list.eu/api/ranks/domain/escrow.com,2,2,1,2,7,A,https://www.escrow.com/,official/platform primary,2026-08-23,medium,
S038,SGS,C7,لایه‌های خدمت,https://www.sgs.com/,sgs.com,,SGS SA,official source,Switzerland,Multilingual country sites,testing/inspection/certification services,inspection and assurance,global,public-indexed,public information; quote/contact for service,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),12578,2026-08-22,https://tranco-list.eu/api/ranks/domain/sgs.com,2,2,2,2,8,A,https://www.sgs.com/,official/platform primary,2026-08-23,high,
S039,Allianz Trade,C7,لایه‌های خدمت,https://www.allianz-trade.com/,allianz-trade.com,Euler Hermes,Euler Hermes SA / Allianz Trade,official source,France/Allianz Group,Multilingual country sites,trade credit insurance and risk services,credit insurance,global subject to country availability,public-indexed,public information; contact for quote,not tested; no automated crawling performed,Alias retained after brand change; service availability for Iran not assessed.,Tranco rank (lower is stronger; not a visit count),56697,2026-08-22,https://tranco-list.eu/api/ranks/domain/allianz-trade.com,2,2,1,2,7,A,https://www.allianz-trade.com/,official/platform primary,2026-08-23,high,Alias retained after brand change; service availability for Iran not assessed.
S040,Flexport,C7,لایه‌های خدمت,https://www.flexport.com/,flexport.com,,"Flexport, Inc.",official source,United States,English; regional sites,digital freight forwarding/logistics platform,freight/logistics,global routes subject to availability,public-indexed,public information; account/quote for shipment,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),7758,2026-08-22,https://tranco-list.eu/api/ranks/domain/flexport.com,2,2,2,2,8,A,https://www.flexport.com/,official/platform primary,2026-08-23,high,
S041,Drip Capital,C7,لایه‌های خدمت,https://www.dripcapital.com/,dripcapital.com,,"Drip Capital, Inc.",official source,United States,English; regional sites,trade finance platform,trade finance,selected markets,public-indexed,public information; application for finance,not tested; no automated crawling performed,public landing/index evidence only; authenticated workflow not tested,Tranco rank (lower is stronger; not a visit count),492858,2026-08-22,https://tranco-list.eu/api/ranks/domain/dripcapital.com,1,2,1,2,6,B,https://www.dripcapital.com/,official/platform primary,2026-08-23,high,
