record_id,dimension_id,group,field_name,question,evidence_state,observed_fact,evidence_url,evidence_type,observed_at,region,access_mode,confidence,actor,input,output,page_module,entity,event,state,error_exception,document,personal_data,risk,handoff,inference,gap_reason,next_method,product_implication,metric_name,metric_value,metric_unit,metric_currency,metric_period,metric_territory,metric_classification,metric_method,metric_publisher,source_title,source_publication_date
D10.1,D10,D01-D10 Discovery,supplier_detail,Which supplier fields/actions appear?,observed,"PDP shows supplier region, rating, membership tenure, audit, export rights and verified strengths.",https://wewinchina.en.made-in-china.com/product/JFpnNejMhtcm/China-360W-5000-Rpm-High-Power-High-Speed-Electric-DC-Brush-Motor-with-Hall-Encoder.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,"PDP shows supplier region, rating, membership tenure, audit, export rights and verified strengths.",https://wewinchina.en.made-in-china.com/product/JFpnNejMhtcm/China-360W-5000-Rpm-High-Power-High-Speed-Electric-DC-Brush-Motor-with-Hall-Encoder.html,Supplier Detail,supplier_detail.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D11.1,D11,D11-D20 Identity,registration_entry,Is registration entry visible?,observed,Sign In and buyer/supplier registration routes are visible.,https://www.made-in-china.com/aboutus/main/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,Sign In and buyer/supplier registration routes are visible.,https://www.made-in-china.com/aboutus/main/,Registration Entry,registration_entry.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D12.1,D12,D11-D20 Identity,buyer_registration,What buyer registration inputs are documented?,observed,"Privacy lists email, country, name, company, phone, sourcing/product and purchase-profile data.",https://www.made-in-china.com/help/policy/,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,"Privacy lists email, country, name, company, phone, sourcing/product and purchase-profile data.",https://www.made-in-china.com/help/policy/,Buyer Registration,buyer_registration.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D13.1,D13,D11-D20 Identity,supplier_enrollment,What supplier enrollment path is public?,observed,"Supplier route includes membership, register supplier, products, showroom and sourcing requests.",https://www.made-in-china.com/aboutus/main/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,"Supplier route includes membership, register supplier, products, showroom and sourcing requests.",https://www.made-in-china.com/aboutus/main/,Supplier Enrollment,supplier_enrollment.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D14.1,D14,D11-D20 Identity,login,Which login mechanisms are documented?,observed,Terms and navigation document buyer account registration/sign-in.,https://www.made-in-china.com/help/terms/,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,Terms and navigation document buyer account registration/sign-in.,https://www.made-in-china.com/help/terms/,Login,login.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D15.1,D15,D11-D20 Identity,role_selection,Is an explicit buyer/seller role-selection screen shown?,observed,Buyer and supplier routes are explicitly separated.,https://www.made-in-china.com/aboutus/main/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,Buyer and supplier routes are explicitly separated.,https://www.made-in-china.com/aboutus/main/,Role Selection,role_selection.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D16.1,D16,D11-D20 Identity,email_verification,How is email verified?,observed,Terms describe email activation as one way registration agreement is accepted.,https://www.made-in-china.com/help/terms/,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,Terms describe email activation as one way registration agreement is accepted.,https://www.made-in-china.com/help/terms/,Email Verification,email_verification.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D17.1,D17,D11-D20 Identity,mobile_verification,How is mobile verified?,observed-not-found,No sufficient guest/public evidence found for this dimension.,https://www.made-in-china.com/help/terms/,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",medium,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,No sufficient guest/public evidence found for this dimension.,https://www.made-in-china.com/help/terms/,Mobile Verification,mobile_verification.evaluated,guest/public -> observed-not-found,mobile OTP not observed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,mobile OTP not observed,Use authorized manual/authenticated testing or current official help without submitting real transaction data.,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D18.1,D18,D11-D20 Identity,company_onboarding,Is company information collected?,observed,"Supplier business license, audit, import/export and strength labels are shown.",https://wewinchina.en.made-in-china.com/product/JFpnNejMhtcm/China-360W-5000-Rpm-High-Power-High-Speed-Electric-DC-Brush-Motor-with-Hall-Encoder.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,"Supplier business license, audit, import/export and strength labels are shown.",https://wewinchina.en.made-in-china.com/product/JFpnNejMhtcm/China-360W-5000-Rpm-High-Power-High-Speed-Electric-DC-Brush-Motor-with-Hall-Encoder.html,Company Onboarding,company_onboarding.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D19.1,D19,D11-D20 Identity,kyc_kyb_documents,Which exact KYB documents are mandatory at registration?,observed,"Audit process covers paper documents, on-site facilities and eight capability areas.",https://www.made-in-china.com/audited-suppliers/for-buyers/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,"Audit process covers paper documents, on-site facilities and eight capability areas.",https://www.made-in-china.com/audited-suppliers/for-buyers/,Kyc Kyb Documents,kyc_kyb_documents.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D20.1,D20,D11-D20 Identity,password_recovery,What recovery path is documented?,observed-not-found,No sufficient guest/public evidence found for this dimension.,https://www.made-in-china.com/help/terms/,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",medium,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,No sufficient guest/public evidence found for this dimension.,https://www.made-in-china.com/help/terms/,Password Recovery,password_recovery.evaluated,guest/public -> observed-not-found,password recovery flow not observed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,password recovery flow not observed,Use authorized manual/authenticated testing or current official help without submitting real transaction data.,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D21.1,D21,D21-D30 Supplier tools,dashboard,Is a supplier dashboard evidenced?,observed,"My Account exposes messages, unquoted requests, quotes, products and showroom modules.",https://www.made-in-china.com/aboutus/main/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,"My Account exposes messages, unquoted requests, quotes, products and showroom modules.",https://www.made-in-china.com/aboutus/main/,Dashboard,dashboard.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D22.1,D22,D21-D30 Supplier tools,company_profile,Can suppliers maintain a profile?,observed,Supplier showroom and profile editing modules are linked.,https://www.made-in-china.com/aboutus/main/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,Supplier showroom and profile editing modules are linked.,https://www.made-in-china.com/aboutus/main/,Company Profile,company_profile.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D23.1,D23,D21-D30 Supplier tools,catalog_management,Is catalog/showroom management evidenced?,observed-not-found,No sufficient guest/public evidence found for this dimension.,https://www.made-in-china.com/help/terms/,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",medium,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,No sufficient guest/public evidence found for this dimension.,https://www.made-in-china.com/help/terms/,Catalog Management,catalog_management.evaluated,guest/public -> observed-not-found,catalog edit UI auth-only,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,catalog edit UI auth-only,Use authorized manual/authenticated testing or current official help without submitting real transaction data.,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D24.1,D24,D21-D30 Supplier tools,product_creation,Is product creation evidenced?,observed,Manage Products is present but create/edit form was not entered.,https://www.made-in-china.com/aboutus/main/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,Manage Products is present but create/edit form was not entered.,https://www.made-in-china.com/aboutus/main/,Product Creation,product_creation.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D25.1,D25,D21-D30 Supplier tools,product_specifications,Are structured specifications displayed?,observed,"PDP contains structured motor attributes, customization, shipping and supplier information.",https://wewinchina.en.made-in-china.com/product/JFpnNejMhtcm/China-360W-5000-Rpm-High-Power-High-Speed-Electric-DC-Brush-Motor-with-Hall-Encoder.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,"PDP contains structured motor attributes, customization, shipping and supplier information.",https://wewinchina.en.made-in-china.com/product/JFpnNejMhtcm/China-360W-5000-Rpm-High-Power-High-Speed-Electric-DC-Brush-Motor-with-Hall-Encoder.html,Product Specifications,product_specifications.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D26.1,D26,D21-D30 Supplier tools,price_moq,Are price and MOQ visible?,observed,PDP has price tiers and quantity bands; sample price is separately displayed.,https://wewinchina.en.made-in-china.com/product/JFpnNejMhtcm/China-360W-5000-Rpm-High-Power-High-Speed-Electric-DC-Brush-Motor-with-Hall-Encoder.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,PDP has price tiers and quantity bands; sample price is separately displayed.,https://wewinchina.en.made-in-china.com/product/JFpnNejMhtcm/China-360W-5000-Rpm-High-Power-High-Speed-Electric-DC-Brush-Motor-with-Hall-Encoder.html,Price Moq,price_moq.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",sample price,150,USD per piece,USD,sample CTA,sample product,sample offer,direct,Supplier via Made-in-China.com,Motor PDP,dynamic
D27.1,D27,D21-D30 Supplier tools,capacity_lead_time,Are capacity and lead time visible?,observed,Product specs and seller claims provide capabilities; exact production lead time not visible in sampled chunk.,https://wewinchina.en.made-in-china.com/product/JFpnNejMhtcm/China-360W-5000-Rpm-High-Power-High-Speed-Electric-DC-Brush-Motor-with-Hall-Encoder.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,Product specs and seller claims provide capabilities; exact production lead time not visible in sampled chunk.,https://wewinchina.en.made-in-china.com/product/JFpnNejMhtcm/China-360W-5000-Rpm-High-Power-High-Speed-Electric-DC-Brush-Motor-with-Hall-Encoder.html,Capacity Lead Time,capacity_lead_time.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D28.1,D28,D21-D30 Supplier tools,rfq_creation,Can a buyer submit an RFQ?,observed,RFQ lets buyer post one request and receive multiple quotes.,https://activity.made-in-china.com/show/xQrasYIbFmVA/sxutRkLPIEVl/Help_How_to_Source_Products,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,RFQ lets buyer post one request and receive multiple quotes.,https://activity.made-in-china.com/show/xQrasYIbFmVA/sxutRkLPIEVl/Help_How_to_Source_Products,Rfq Creation,rfq_creation.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D29.1,D29,D21-D30 Supplier tools,rfq_response,Can suppliers view/respond to RFQs?,observed,Supplier account exposes unquoted requests and buyer quotes; no quote submitted.,https://www.made-in-china.com/aboutus/main/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,Supplier account exposes unquoted requests and buyer quotes; no quote submitted.,https://www.made-in-china.com/aboutus/main/,Rfq Response,rfq_response.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
