record_id,dimension_id,group,field_name,question,evidence_state,observed_fact,evidence_url,evidence_type,observed_at,region,access_mode,confidence,actor,input,output,page_module,entity,event,state,error_exception,document,personal_data,risk,handoff,inference,gap_reason,next_method,product_implication,metric_name,metric_value,metric_unit,metric_currency,metric_period,metric_territory,metric_classification,metric_method,metric_publisher,source_title,source_publication_date,validation_status,validation_errors,template_version
D10.1,D10,D01-D10 Discovery,supplier_detail,Which supplier fields/actions appear?,observed,"Sample supplier page shows ranking, verification, region, response, business type, tenure, export markets, catalog, shows and inquiry/chat.",https://phyijia.manufacturer.globalsources.com/homepage_6008851991151.htm,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer,Capability-specific intent/prerequisite in dimension question.,"Sample supplier page shows ranking, verification, region, response, business type, tenure, export markets, catalog, shows and inquiry/chat.",https://phyijia.manufacturer.globalsources.com/homepage_6008851991151.htm,Supplier Detail,supplier_detail.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,UX/PM/SEO,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D11.1,D11,D11-D20 Identity,registration_entry,Is registration entry visible?,observed,Homepage exposes Sign in and Register for free.,https://www.globalsources.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,registrant/member,Capability-specific intent/prerequisite in dimension question.,Homepage exposes Sign in and Register for free.,https://www.globalsources.com/,Registration Entry,registration_entry.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,SEC/CMP/UX,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D12.1,D12,D11-D20 Identity,buyer_registration,What buyer registration inputs are documented?,observed-not-found,Exact buyer registration fields were not traversed.,https://www.globalsources.com/robots.txt,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,registrant/member,Capability-specific intent/prerequisite in dimension question.,Exact buyer registration fields were not traversed.,https://www.globalsources.com/robots.txt,Buyer Registration,buyer_registration.evaluated,guest/public -> observed-not-found,login/member paths are disallowed and no account was created.,No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,SEC/CMP/UX,Implication limited to cited evidence and access mode.,login/member paths are disallowed and no account was created.,Use current official account guide or authorized test account.,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D13.1,D13,D11-D20 Identity,supplier_enrollment,What supplier enrollment path is public?,observed,"Homepage exposes Register as a Supplier, free supplier and supplier promotion/service entries.",https://www.globalsources.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,registrant/member,Capability-specific intent/prerequisite in dimension question.,"Homepage exposes Register as a Supplier, free supplier and supplier promotion/service entries.",https://www.globalsources.com/,Supplier Enrollment,supplier_enrollment.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,SEC/CMP/UX,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D14.1,D14,D11-D20 Identity,login,Which login mechanisms are documented?,observed,Sign-in routes exist for buyers and Supplier Center; login was not entered.,https://www.globalsources.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,registrant/member,Capability-specific intent/prerequisite in dimension question.,Sign-in routes exist for buyers and Supplier Center; login was not entered.,https://www.globalsources.com/,Login,login.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,SEC/CMP/UX,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D15.1,D15,D11-D20 Identity,role_selection,Is an explicit buyer/seller role-selection screen shown?,observed,Buyer and supplier entry routes are distinct; explicit role-switch behavior was not tested.,https://www.globalsources.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",medium,registrant/member,Capability-specific intent/prerequisite in dimension question.,Buyer and supplier entry routes are distinct; explicit role-switch behavior was not tested.,https://www.globalsources.com/,Role Selection,role_selection.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,SEC/CMP/UX,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D16.1,D16,D11-D20 Identity,email_verification,How is email verified?,observed,Help Center lists email verification as an account-management topic; execution was not performed.,https://www.globalsources.com/helpCenter/help,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",medium,registrant/member,Capability-specific intent/prerequisite in dimension question.,Help Center lists email verification as an account-management topic; execution was not performed.,https://www.globalsources.com/helpCenter/help,Email Verification,email_verification.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,SEC/CMP/UX,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D17.1,D17,D11-D20 Identity,mobile_verification,How is mobile verified?,observed-not-found,Mobile OTP/phone verification requirements were not found.,https://www.globalsources.com/helpCenter/help,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",medium,registrant/member,Capability-specific intent/prerequisite in dimension question.,Mobile OTP/phone verification requirements were not found.,https://www.globalsources.com/helpCenter/help,Mobile Verification,mobile_verification.evaluated,guest/public -> observed-not-found,No registration submission or specific current article observed.,No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,SEC/CMP/UX,Implication limited to cited evidence and access mode.,No registration submission or specific current article observed.,Inspect authorized registration help.,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D18.1,D18,D11-D20 Identity,company_onboarding,Is company information collected?,observed,"Verified Supplier guide describes business documents, certifications, financial records, QC protocols and references in verification.",https://www.globalsources.com/knowledge/what-is-a-verified-supplier-on-globalsources-com/,official-guidance,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",medium,registrant/member,Capability-specific intent/prerequisite in dimension question.,"Verified Supplier guide describes business documents, certifications, financial records, QC protocols and references in verification.",https://www.globalsources.com/knowledge/what-is-a-verified-supplier-on-globalsources-com/,Company Onboarding,company_onboarding.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,SEC/CMP/UX,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D19.1,D19,D11-D20 Identity,kyc_kyb_documents,Which exact KYB documents are mandatory at registration?,observed,"Verified Supplier guide describes application, assessment, on-site audit and compliance check; exact mandatory checklist may vary.",https://www.globalsources.com/knowledge/what-is-a-verified-supplier-on-globalsources-com/,official-guidance,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",medium,registrant/member,Capability-specific intent/prerequisite in dimension question.,"Verified Supplier guide describes application, assessment, on-site audit and compliance check; exact mandatory checklist may vary.",https://www.globalsources.com/knowledge/what-is-a-verified-supplier-on-globalsources-com/,Kyc Kyb Documents,kyc_kyb_documents.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,SEC/CMP/UX,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D20.1,D20,D11-D20 Identity,password_recovery,What recovery path is documented?,observed,Help Center lists forgot-password support; flow was not executed.,https://www.globalsources.com/helpCenter/help,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",medium,registrant/member,Capability-specific intent/prerequisite in dimension question.,Help Center lists forgot-password support; flow was not executed.,https://www.globalsources.com/helpCenter/help,Password Recovery,password_recovery.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,SEC/CMP/UX,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D21.1,D21,D21-D30 Supplier tools,dashboard,Is a supplier dashboard evidenced?,observed,Buyer Center and Supplier Center/dashboard destinations are public in navigation but authenticated content was not accessed.,https://www.globalsources.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",medium,seller/buyer member,Capability-specific intent/prerequisite in dimension question.,Buyer Center and Supplier Center/dashboard destinations are public in navigation but authenticated content was not accessed.,https://www.globalsources.com/,Dashboard,dashboard.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,SUP/BUY/FIN/TRADE/LOG,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D22.1,D22,D21-D30 Supplier tools,company_profile,Can suppliers maintain a profile?,observed,"Supplier storefront exposes profile, products, categories, trade shows, contact and virtual tour.",https://phyijia.manufacturer.globalsources.com/homepage_6008851991151.htm,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,seller/buyer member,Capability-specific intent/prerequisite in dimension question.,"Supplier storefront exposes profile, products, categories, trade shows, contact and virtual tour.",https://phyijia.manufacturer.globalsources.com/homepage_6008851991151.htm,Company Profile,company_profile.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,SUP/BUY/FIN/TRADE/LOG,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D23.1,D23,D21-D30 Supplier tools,catalog_management,Is catalog/showroom management evidenced?,observed,Supplier store exposes categorized showroom counts and products; supplier service promotes multichannel reach.,https://phyijia.manufacturer.globalsources.com/homepage_6008851991151.htm,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,seller/buyer member,Capability-specific intent/prerequisite in dimension question.,Supplier store exposes categorized showroom counts and products; supplier service promotes multichannel reach.,https://phyijia.manufacturer.globalsources.com/homepage_6008851991151.htm,Catalog Management,catalog_management.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,SUP/BUY/FIN/TRADE/LOG,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D24.1,D24,D21-D30 Supplier tools,product_creation,Is product creation evidenced?,observed,Supplier registration/promotion routes and product listings are documented; create/edit form was not observed.,https://www.globalsources.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",medium,seller/buyer member,Capability-specific intent/prerequisite in dimension question.,Supplier registration/promotion routes and product listings are documented; create/edit form was not observed.,https://www.globalsources.com/,Product Creation,product_creation.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,SUP/BUY/FIN/TRADE/LOG,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D25.1,D25,D21-D30 Supplier tools,product_specifications,Are structured specifications displayed?,observed,"Sample PDP includes model, brand, origin, small-order flag, specs, shipping attributes, HTS code and payment.",https://www.globalsources.com/Car-buffer/Car-Polisher-1200186001p.htm,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,seller/buyer member,Capability-specific intent/prerequisite in dimension question.,"Sample PDP includes model, brand, origin, small-order flag, specs, shipping attributes, HTS code and payment.",https://www.globalsources.com/Car-buffer/Car-Polisher-1200186001p.htm,Product Specifications,product_specifications.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,SUP/BUY/FIN/TRADE/LOG,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D26.1,D26,D21-D30 Supplier tools,price_moq,Are price and MOQ visible?,observed,Sample PDP shows quantity-tier FOB prices; result card and PDP both expose MOQ/quantity ranges.,https://www.globalsources.com/Car-buffer/Car-Polisher-1200186001p.htm,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,seller/buyer member,Capability-specific intent/prerequisite in dimension question.,Sample PDP shows quantity-tier FOB prices; result card and PDP both expose MOQ/quantity ranges.,https://www.globalsources.com/Car-buffer/Car-Polisher-1200186001p.htm,Price Moq,price_moq.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,SUP/BUY/FIN/TRADE/LOG,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
