record_id,dimension_id,group,field_name,question,evidence_state,observed_fact,evidence_url,evidence_type,observed_at,region,access_mode,confidence,actor,input,output,page_module,entity,event,state,error_exception,document,personal_data,risk,handoff,inference,gap_reason,next_method,product_implication,metric_name,metric_value,metric_unit,metric_currency,metric_period,metric_territory,metric_classification,metric_method,metric_publisher,source_title,source_publication_date
D10.1,D10,D01-D10 Discovery,supplier_detail,Which supplier fields/actions appear?,observed,Supplier storefront/catalog identifies seller and business segments; independent verification not established from sample.,https://www.indiamart.com/bestdeals-supplies/products-and-services.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,Supplier storefront/catalog identifies seller and business segments; independent verification not established from sample.,https://www.indiamart.com/bestdeals-supplies/products-and-services.html,Supplier Detail,supplier_detail.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D11.1,D11,D11-D20 Identity,registration_entry,Is registration entry visible?,observed,"Sign In, Post Requirement and Start Selling are visible.",https://www.indiamart.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,"Sign In, Post Requirement and Start Selling are visible.",https://www.indiamart.com/,Registration Entry,registration_entry.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D12.1,D12,D11-D20 Identity,buyer_registration,What buyer registration inputs are documented?,observed,"Registration collects name, company, email, phone, address, statutory/tax and business information.",https://www.indiamart.com/privacy-policy.html,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,"Registration collects name, company, email, phone, address, statutory/tax and business information.",https://www.indiamart.com/privacy-policy.html,Buyer Registration,buyer_registration.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D13.1,D13,D11-D20 Identity,supplier_enrollment,What supplier enrollment path is public?,observed,Start Selling and paid seller services are visible.,https://www.indiamart.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,Start Selling and paid seller services are visible.,https://www.indiamart.com/,Supplier Enrollment,supplier_enrollment.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D14.1,D14,D11-D20 Identity,login,Which login mechanisms are documented?,observed,Registered users and business eligibility are defined in Terms.,https://www.indiamart.com/terms-of-use.html,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,Registered users and business eligibility are defined in Terms.,https://www.indiamart.com/terms-of-use.html,Login,login.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D15.1,D15,D11-D20 Identity,role_selection,Is an explicit buyer/seller role-selection screen shown?,observed,Buyer and supplier users interact on the venue; seller and buyer toolkits are separated.,https://www.indiamart.com/terms-of-use.html,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,Buyer and supplier users interact on the venue; seller and buyer toolkits are separated.,https://www.indiamart.com/terms-of-use.html,Role Selection,role_selection.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D16.1,D16,D11-D20 Identity,email_verification,How is email verified?,observed,Identity/email verification is a stated data-use purpose.,https://www.indiamart.com/privacy-policy.html,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,Identity/email verification is a stated data-use purpose.,https://www.indiamart.com/privacy-policy.html,Email Verification,email_verification.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D17.1,D17,D11-D20 Identity,mobile_verification,How is mobile verified?,observed-not-found,No sufficient public guest evidence found for this dimension.,https://www.indiamart.com/terms-of-use.html,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",medium,buyer/seller/platform as applicable,dimension-specific business intent,No sufficient public guest evidence found for this dimension.,https://www.indiamart.com/terms-of-use.html,Mobile Verification,mobile_verification.evaluated,public -> observed-not-found,Guest/auth/transaction or technical test was unavailable for this field.,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,Guest/auth/transaction or technical test was unavailable for this field.,Use authorized manual/authenticated testing or current official help.,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D18.1,D18,D11-D20 Identity,company_onboarding,Is company information collected?,observed,"TrustSEAL verification includes GST OTP, bank-name check, conflict check and VKYC evidence.",https://help.indiamart.com/knowledge-base/trustseal-pro/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,"TrustSEAL verification includes GST OTP, bank-name check, conflict check and VKYC evidence.",https://help.indiamart.com/knowledge-base/trustseal-pro/,Company Onboarding,company_onboarding.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D19.1,D19,D11-D20 Identity,kyc_kyb_documents,Which exact KYB documents are mandatory at registration?,observed,"TrustSEAL requires identity, product and location proof through video verification.",https://help.indiamart.com/knowledge-base/trustseal-pro/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,"TrustSEAL requires identity, product and location proof through video verification.",https://help.indiamart.com/knowledge-base/trustseal-pro/,Kyc Kyb Documents,kyc_kyb_documents.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D20.1,D20,D11-D20 Identity,password_recovery,What recovery path is documented?,observed-not-found,No sufficient public guest evidence found for this dimension.,https://www.indiamart.com/terms-of-use.html,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",medium,buyer/seller/platform as applicable,dimension-specific business intent,No sufficient public guest evidence found for this dimension.,https://www.indiamart.com/terms-of-use.html,Password Recovery,password_recovery.evaluated,public -> observed-not-found,Guest/auth/transaction or technical test was unavailable for this field.,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,Guest/auth/transaction or technical test was unavailable for this field.,Use authorized manual/authenticated testing or current official help.,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D21.1,D21,D21-D30 Supplier tools,dashboard,Is a supplier dashboard evidenced?,observed,Seller dashboard exposes BuyLead balance and lead management in official help.,https://help.indiamart.com/knowledge-base/buy-lead/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,Seller dashboard exposes BuyLead balance and lead management in official help.,https://help.indiamart.com/knowledge-base/buy-lead/,Dashboard,dashboard.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D22.1,D22,D21-D30 Supplier tools,company_profile,Can suppliers maintain a profile?,observed,"Paid catalog tools include templated catalog, control panel and brochure.",https://help.indiamart.com/knowledge-base/trustseal-pro/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,"Paid catalog tools include templated catalog, control panel and brochure.",https://help.indiamart.com/knowledge-base/trustseal-pro/,Company Profile,company_profile.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D23.1,D23,D21-D30 Supplier tools,catalog_management,Is catalog/showroom management evidenced?,observed,"TrustSEAL plan supports catalog for up to 10,000 products and mobile/desktop control.",https://help.indiamart.com/knowledge-base/trustseal-pro/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,"TrustSEAL plan supports catalog for up to 10,000 products and mobile/desktop control.",https://help.indiamart.com/knowledge-base/trustseal-pro/,Catalog Management,catalog_management.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D24.1,D24,D21-D30 Supplier tools,product_creation,Is product creation evidenced?,observed,Mini Dynamic Catalog permits add/delete/edit content; exact product form not traversed.,https://www.indiamart.com/terms-of-use.html,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,Mini Dynamic Catalog permits add/delete/edit content; exact product form not traversed.,https://www.indiamart.com/terms-of-use.html,Product Creation,product_creation.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D25.1,D25,D21-D30 Supplier tools,product_specifications,Are structured specifications displayed?,observed,"Sample products expose price, MOQ and structured specifications.",https://www.indiamart.com/bestdeals-supplies/products-and-services.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,"Sample products expose price, MOQ and structured specifications.",https://www.indiamart.com/bestdeals-supplies/products-and-services.html,Product Specifications,product_specifications.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D26.1,D26,D21-D30 Supplier tools,price_moq,Are price and MOQ visible?,observed,Sample promotional mug is INR75/piece with MOQ 100.,https://www.indiamart.com/bestdeals-supplies/products-and-services.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,Sample promotional mug is INR75/piece with MOQ 100.,https://www.indiamart.com/bestdeals-supplies/products-and-services.html,Price Moq,price_moq.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",sample unit price,75,INR per piece,INR,sample catalog,India supplier,sample listing,direct,Supplier via IndiaMART,Promotional Mug,dynamic
D27.1,D27,D21-D30 Supplier tools,capacity_lead_time,Are capacity and lead time visible?,observed,No production capacity/lead-time field appears in sampled catalog.,https://www.indiamart.com/bestdeals-supplies/products-and-services.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,No production capacity/lead-time field appears in sampled catalog.,https://www.indiamart.com/bestdeals-supplies/products-and-services.html,Capacity Lead Time,capacity_lead_time.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D28.1,D28,D21-D30 Supplier tools,rfq_creation,Can a buyer submit an RFQ?,observed,Post Requirement is the buyer demand-entry CTA.,https://www.indiamart.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,Post Requirement is the buyer demand-entry CTA.,https://www.indiamart.com/,Rfq Creation,rfq_creation.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D29.1,D29,D21-D30 Supplier tools,rfq_response,Can suppliers view/respond to RFQs?,observed,BuyLead is filtered demand shared to relevant suppliers who consume it.,https://help.indiamart.com/knowledge-base/buy-lead/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,BuyLead is filtered demand shared to relevant suppliers who consume it.,https://help.indiamart.com/knowledge-base/buy-lead/,Rfq Response,rfq_response.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D30.1,D30,D21-D30 Supplier tools,messaging,Is messaging/file exchange evidenced?,observed,"BuyLead alerts use email, SMS and app; consuming reveals buyer contact details.",https://help.indiamart.com/knowledge-base/buy-lead/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,"BuyLead alerts use email, SMS and app; consuming reveals buyer contact details.",https://help.indiamart.com/knowledge-base/buy-lead/,Messaging,messaging.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",BuyLead contact unlock,1,consumed lead,not applicable,per lead,India seller,lead mechanism,publisher-described,IndiaMART,What is BuyLead,updated 2025-03-06
D31.1,D31,D31-D40 Transaction,quotation,Is quotation workflow evidenced?,observed,Supplier consumes relevant BuyLead to access buyer contact and respond outside/through lead tools.,https://help.indiamart.com/knowledge-base/buy-lead/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,Supplier consumes relevant BuyLead to access buyer contact and respond outside/through lead tools.,https://help.indiamart.com/knowledge-base/buy-lead/,Quotation,quotation.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D32.1,D32,D31-D40 Transaction,sample_workflow,Is a platform-managed sample workflow visible?,observed-not-found,No sufficient public guest evidence found for this dimension.,https://www.indiamart.com/terms-of-use.html,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",medium,buyer/seller/platform as applicable,dimension-specific business intent,No sufficient public guest evidence found for this dimension.,https://www.indiamart.com/terms-of-use.html,Sample Workflow,sample_workflow.evaluated,public -> observed-not-found,Guest/auth/transaction or technical test was unavailable for this field.,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,Guest/auth/transaction or technical test was unavailable for this field.,Use authorized manual/authenticated testing or current official help.,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
